ID;Data_Reclamacao;Consumidor;CPF;Cidade;UF;Categoria;Empresa;Descricao_Problema;Status;Nota_Consumidor;Tempo_Resposta_Dias
369;12/02/2023;Pedro Lima;628 103 700 26;Santarém;PA;Transporte Aéreo;sky brasil;Serviço não prestado;Finalizado não avaliado;2;3
370;04-08-2023;Camila Rodrigues;193.595.541-17;Petrolina;PE;Cartões de Crédito/Débito;B2W - Americanas;Dados incorretos na fatura;Resolvido;2;85
371;18.05.2023;Fernanda Pereira;291.828.282-89;Pacaraima;RR;Bancos e Financeiras;rappi;Qualidade abaixo do esperado;Resolvido;2;N/A
372;2024-05-12;Amanda Dias;655 604 907 36;Itabaiana;SE;Eletrônicos e Celulares;Caixa Econômica;Serviço não prestado;Finalizado não avaliado;2;9
373;19.12.2023;Fernanda Pereira;425 492 427 88;Cuiabá;MT;Telecomunicações - Telefonia Móvel;LATAM Airlines;Atendimento precário;Finalizado avaliado;N/A;0
374;6/12/2023;Felipe Ribeiro;712-121-441-26;Gurupi;TO;Cartões de Crédito/Débito;SAMSUNG;Produto diferente do anunciado;Não Resolvido;4;-5
375;2023-05-06;Roberto Almeida;899 261 110 27;Maracanaú;CE;Correios e Entregas;Rappi;Falta de resposta;Finalizado avaliado;4;
376;24/10/2024;Maria Silva;272-895-561-65;Montes Claros;MG;Cartões de Crédito/Débito;Samsung;Propaganda enganosa;Finalizado avaliado;3;N/A
377;03/04/2023;Daniela Araújo;340 573 178 48;Colombo;PR;Bancos e Financeiras;Bradesco;Conta contestada;Em andamento;;5
378;2024-10-02;Roberto Almeida;82432268465;Penedo;AL;Correios e Entregas;GOL Linhas Aéreas;Dados incorretos na fatura;Finalizado não avaliado;;
379;18-03-2024;Juliana Costa;106.165.731-67;Dourados;MS;Transporte por Aplicativo;Itaú Unibanco;Defeito no produto;Finalizado avaliado;2;87
380;2024-10-08;Vanessa Gomes;918.825.188-10;Cruzeiro do Sul;AC;Transporte por Aplicativo;MOTOROLA;Estorno não realizado;Finalizado avaliado;4;N/A
381;15/07/2023;João Santos;614 469 524 10;Rio de Janeiro;RJ;Transporte por Aplicativo;MAGAZINE LUIZA;Voo cancelado sem aviso;Resolvido;2;65
382;17/12/2023;Patrícia Mendes;57317789119;Recife;PE;Telecomunicações - Telefonia Móvel;amazon brasil;Defeito no produto;Não Resolvido;5;59
383;2024-03-03;Maria Silva;26974397580;Santa Maria;RS;Seguros;T.I.M.;Serviço não prestado;Finalizado não avaliado;;67
384;09.02.2023;Larissa Barbosa;572-576-943-72;Sena Madureira;AC;Correios e Entregas;correios;Internet instável;Resolvido;3;90
385;20-06-2024;Amanda Dias;457 673 685 36;Rio Branco;AC;Telecomunicações - TV por Assinatura;99;Erro no aplicativo;Finalizado não avaliado;5;27
386;25-04-2023;Ana Oliveira;73735261183;Criciúma;SC;Telecomunicações - TV por Assinatura;SAMSUNG;Falta de resposta;Não Resolvido;1;89
387;27.02.2024;Maria Silva;360.467.921-78;Luziânia;GO;Bancos e Financeiras;Samsung;Atendimento precário;Em análise;3;40
388;2024-01-05;Amanda Dias;84624189953;Juiz de Fora;MG;Bancos e Financeiras;T.I.M.;Cobrança indevida;Finalizado não avaliado;1;N/A
389;11.08.2023;Pedro Lima;182-368-540-20;Cascavel;PR;Alimentação - Delivery;LATAM AIRLINES;Defeito no produto;Finalizado avaliado;1;
390;2024-06-12;Ana Oliveira;233.139.509-39;Goiânia;GO;Transporte por Aplicativo;MERCADO LIVRE;Cobrança após cancelamento;Em análise;4;62
391;18/10/2024;Ana Oliveira;787-829-202-16;São Luís;MA;Energia Elétrica;IFOOD;Serviço não prestado;Não Resolvido;4;41
392;13-12-2024;Fernanda Pereira;767-749-776-94;Sena Madureira;AC;Água e Esgoto;CVC Viagens;Falta de resposta;Finalizado avaliado;2;
393;17.12.2024;Carlos Souza;309-477-510-40;Araguaína;TO;Cartões de Crédito/Débito;Sky Brasil;Internet instável;Finalizado avaliado;1;6
394;20.07.2023;Gustavo Rocha;859.288.711-85;São José;SC;Telecomunicações - Internet;Casas bahia;Voo cancelado sem aviso;Finalizado não avaliado;2;20
395;23-05-2023;Pedro Lima;790 182 766 34;Itajaí;SC;Água e Esgoto;latam airlines;Cobrança indevida;Finalizado avaliado;5;
396;2023-11-15;Vanessa Gomes;52122061295;Vila Velha;ES;Cartões de Crédito/Débito;TIM;Produto não entregue;Não Resolvido;4;89
397;16-01-2024;Patrícia Mendes;152 229 517 37;Três Lagoas;MS;Água e Esgoto;Casas bahia;Produto diferente do anunciado;Não Resolvido;3;
398;17.12.2024;Carlos Souza;309-477-510-40;Araguaína;TO;Cartões de Crédito/Débito;Sky Brasil;Internet instável;Finalizado avaliado;1;6
399;16-12-2024;Juliana Costa;43815798297;Ribeirão Preto;SP;Telecomunicações - Telefonia Móvel;OI FIXO;Voo cancelado sem aviso;Em andamento;5;49
400;21-03-2023;Lucas Nascimento;769 247 300 88;Osasco;SP;Transporte Aéreo;Via - Casas Bahia;Conta contestada;Em análise;5;
401;24/09/2024;Camila Rodrigues;659-974-519-52;Feira de Santana;BA;Telecomunicações - Internet;Rappi;Cobrança indevida;Finalizado avaliado;4;69
402;2023-12-02;Carlos Souza;701.325.418-78;Caucaia;CE;Viagens e Turismo;Uber;Dificuldade de cancelamento;Em análise;N/A;
403;19.11.2023;Pedro Lima;256 400 876 70;Caucaia;CE;Telecomunicações - Internet;AMAZON BRASIL;Atendimento precário;Em análise;3;59
404;06.08.2024;Carlos Souza;867.894.375-42;Picos;PI;Telecomunicações - Internet;NET;Conta contestada;Resolvido;1;40
405;2/1/2024;Maria Silva;511.141.861-74;Camaçari;BA;Telecomunicações - Internet;Bradesco S.A.;Estorno não realizado;Finalizado avaliado;1;78
406;27/6/2024;Roberto Almeida;19651730422;Manacapuru;AM;Transporte Aéreo;bradesco;Serviço não prestado;Resolvido;3;
407;2023-06-27;Gustavo Rocha;893.177.139-79;Castanhal;PA;Cartões de Crédito/Débito;Apple;Qualidade abaixo do esperado;Resolvido;2;36
408;10/7/2024;Gustavo Rocha;764.342.771-90;Vitória da Conquista;BA;Seguros;Light;Cobrança indevida;Em análise;3;89
409;2024-05-13;Vanessa Gomes;670 727 292 57;Juazeiro;BA;Eletrônicos e Celulares;Net Virtua;Cobrança indevida;Resolvido;5;69
410;2024-02-19;Felipe Ribeiro;950 467 600 84;Jaraguá do Sul;SC;Bancos e Financeiras;correios;Voo cancelado sem aviso;Resolvido;2;58
411;5/2/2023;Thiago Ferreira;38966059296;Campinas;SP;Telecomunicações - Internet;CPFL ENERGIA;Produto diferente do anunciado;Em análise;4;-3
412;23-01-2023;Camila Rodrigues;675-378-293-70;Serra;ES;Correios e Entregas;cpfl energia;Atraso na entrega;Em andamento;1;63
413;26.03.2024;Roberto Almeida;59645141815;Ribeirão das Neves;MG;Água e Esgoto;amazon brasil;Defeito no produto;Em análise;3;61
414;2024-08-13;Juliana Costa;21286791756;Montes Claros;MG;Transporte Aéreo;LATAM Airlines;Atendimento precário;Em análise;3;26
415;12-01-2023;Rafael Martins;183.977.597-99;São José dos Campos;SP;Transporte por Aplicativo;iFood;Propaganda enganosa;Em análise;4;8
416;22/08/2023;Pedro Lima;210.664.677-41;Rio Verde;GO;Telecomunicações - Internet;ENEL;Conta contestada;Resolvido;5;42
417;07.12.2023;Carlos Souza;145.180.391-63;Teresina;PI;Telecomunicações - Telefonia Móvel;azul;Internet instável;Finalizado não avaliado;1;66
418;7/1/2023;Vanessa Gomes;377 610 588 83;Parnaíba;PI;Transporte por Aplicativo;99;Serviço não prestado;Não Resolvido;2;17
419;25/4/2024;Daniela Araújo;38989499154;Caracaraí;RR;Transporte por Aplicativo;B2W - Americanas;Falta de resposta;Em andamento;4;69
420;24-05-2024;Amanda Dias;904.380.894-23;Sorocaba;SP;Telecomunicações - Internet;NET;Falta de resposta;Resolvido;5;70
421;13/3/2024;Carlos Souza;82364033214;Niterói;RJ;Viagens e Turismo;BRADESCO;Atraso na entrega;Em andamento;3;68
422;06-05-2023;Maria Silva;143-923-797-82;São Gonçalo;RJ;Correios e Entregas;99;Serviço não prestado;Não Resolvido;2;60
423;2024-01-02;Vanessa Gomes;385.964.685-10;Palmas;TO;Telecomunicações - Internet;samsung;Defeito no produto;Finalizado não avaliado;N/A;64
424;05-12-2023;Gustavo Rocha;631-541-505-12;Macapá;AP;Comércio Eletrônico;Apple;Dificuldade de cancelamento;Em andamento;2;
425;21.05.2023;Amanda Dias;71544118688;Nossa Senhora do Socorro;SE;Água e Esgoto;ifood;Estorno não realizado;Finalizado não avaliado;5;19
426;10-05-2023;Maria Silva;112-214-524-18;Ilhéus;BA;Energia Elétrica;CASAS BAHIA;Defeito no produto;Não Resolvido;4;37
427;27/5/2023;ANA OLIVEIRA;297 578 139 50;Plano Piloto;DF;Eletrônicos e Celulares;uber;Erro no aplicativo;Não Resolvido;N/A;88
428;2023-09-18;Bruno Carvalho;14660015968;Caracaraí;RR;Água e Esgoto;gol linhas aéreas;Estorno não realizado;Resolvido;2;11
429;12/02/2023;Gustavo Rocha;450-612-820-22;Lauro de Freitas;BA;Comércio Eletrônico;Rappi;Falta de resposta;Em andamento;5;73
430;28-10-2024;Patrícia Mendes;755-335-988-86;Vilhena;RO;Correios e Entregas;latam airlines;Conta contestada;Em andamento;5;33
431;26/06/2024;Vanessa Gomes;171 942 242 85;Uberaba;MG;Bancos e Financeiras;uber;Produto diferente do anunciado;Finalizado não avaliado;4;57
432;22/06/2024;Patrícia Mendes;180-818-142-32;Curitiba;PR;Telecomunicações - Telefonia Móvel;Rappi;Cobrança indevida;Resolvido;1;3
433;8/11/2024;Rafael Martins;891 979 483 88;Cabo de Santo Agostinho;PE;Alimentação - Delivery;RAPPI;Dificuldade de cancelamento;Finalizado avaliado;5;43
434;02/07/2024;Rafael Martins;138-975-293-48;Porto Velho;RO;Cartões de Crédito/Débito;Oi Fixo;Defeito no produto;Finalizado avaliado;5;
435;26.07.2024;Vanessa Gomes;760-705-948-96;Camaçari;BA;Viagens e Turismo;Vivo S.A.;Produto diferente do anunciado;Não Resolvido;N/A;N/A
436;14/01/2023;Maria Silva;742.595.590-56;Juiz de Fora;MG;Viagens e Turismo;Vivo;Dados incorretos na fatura;Finalizado não avaliado;1;20
437;19/8/2023;Bruno Carvalho;151.915.910-41;Boa Vista;RR;Telecomunicações - Telefonia Móvel;azul;Cobrança após cancelamento;Em andamento;1;25
438;13/8/2023;Amanda Dias;537.100.406-85;Betim;MG;Comércio Eletrônico;amazon brasil;Internet instável;Em andamento;3;59
439;2023-04-16;Camila Rodrigues;692 137 872 15;Manacapuru;AM;Cartões de Crédito/Débito;apple;Atraso na entrega;Finalizado não avaliado;4;38
440;13.01.2023;Ana Oliveira;807.285.524-26;Curitiba;PR;Telecomunicações - Internet;Mercadolivre;Falta de resposta;Em andamento;N/A;48
441;21/02/2023;Fernanda Pereira;220-503-126-35;Vitória;ES;Alimentação - Delivery;CPFL ENERGIA;Cobrança indevida;Não Resolvido;2;-2
442;2024-05-18;Felipe Ribeiro;607 778 237 11;Lauro de Freitas;BA;Cartões de Crédito/Débito;Caixa Econômica;Dados incorretos na fatura;Resolvido;5;N/A
443;13-06-2023;Daniela Araújo;112-323-827-77;Paulista;PE;Seguros;Banco Bradesco;Dados incorretos na fatura;Em análise;5;14
444;22-06-2024;Amanda Dias;37842258526;Brasília;DF;Alimentação - Delivery;CAIXA ECONÔMICA;Cobrança indevida;Não Resolvido;4;7
445;18/10/2024;Felipe Ribeiro;10057439884;Ceará-Mirim;RN;Energia Elétrica;sabesp;Qualidade abaixo do esperado;Não Resolvido;1;44
446;28.03.2024;Patrícia Mendes;63371632637;Rio de Janeiro;RJ;Telecomunicações - Internet;Vivo;Atendimento precário;Finalizado não avaliado;3;85
447;23/05/2024;Juliana Costa;505.231.197-94;Ponta Porã;MS;Cartões de Crédito/Débito;Bradesco;Internet instável;Resolvido;2;34
448;18-04-2023;Bruno Carvalho;714 277 893 31;Sorriso;MT;Água e Esgoto;Mercadolivre;Dados incorretos na fatura;Não Resolvido;1;
449;2023-04-14;Amanda Dias;145 259 906 77;Ponta Porã;MS;Transporte Aéreo;oi fixo;Cobrança indevida;Em análise;2;84
450;16/11/2023;Larissa Barbosa;55718084095;São José dos Pinhais;PR;Eletrônicos e Celulares;MAGAZINE LUIZA;Conta contestada;Finalizado não avaliado;2;88
451;25/12/2023;Larissa Barbosa;564 496 205 96;Criciúma;SC;Comércio Eletrônico;LIGHT;Atraso na entrega;Em andamento;4;37
452;19/04/2023;Carlos Souza;263-714-286-40;Palmeira dos Índios;AL;Correios e Entregas;T.I.M.;Erro no aplicativo;Em análise;1;63
453;23/10/2023;Patrícia Mendes;431-764-345-98;Montes Claros;MG;Seguros;Americanas;Produto diferente do anunciado;Resolvido;3;39
454;15/6/2024;Roberto Almeida;608 701 391 88;Porto Alegre;RS;Transporte por Aplicativo;Motorola;Produto não entregue;Finalizado avaliado;5;40
455;22-11-2023;João Santos;820.306.261-28;Vitória da Conquista;BA;Transporte por Aplicativo;uber;Falta de resposta;Em andamento;;35
456;21.08.2024;Pedro Lima;526 366 322 87;Maringá;PR;Transporte Aéreo;TIM;Cobrança indevida;Finalizado avaliado;2;51
457;2024-05-06;Felipe Ribeiro;916 328 322 52;Porto Velho;RO;Telecomunicações - TV por Assinatura;99;Atraso na entrega;Finalizado não avaliado;4;
458;15.08.2023;Pedro Lima;936-432-427-74;Manaus;AM;Alimentação - Delivery;CORREIOS;Voo cancelado sem aviso;Finalizado avaliado;4;23
459;2023-04-22;Pedro Lima;877-165-388-82;São José dos Pinhais;PR;Bancos e Financeiras;motorola;Falta de resposta;Em análise;N/A;36
460;04.05.2024;Bruno Carvalho;464 906 425 19;Anápolis;GO;Água e Esgoto;BANCO DO BRASIL;Cobrança indevida;Resolvido;3;68
461;17/8/2024;Patrícia Mendes;526.781.916-80;Nossa Senhora do Socorro;SE;Transporte por Aplicativo;correios;Falta de resposta;Em andamento;N/A;28
462;21.09.2023;Juliana Costa;477 513 451 86;Salvador;BA;Eletrônicos e Celulares;AZUL;Atendimento precário;Resolvido;1;22
463;19.08.2024;Gustavo Rocha;94813166330;Uberlândia;MG;Alimentação - Delivery;Itaú Unibanco;Cobrança indevida;Não Resolvido;1;53
464;8/9/2023;Felipe Ribeiro;737 782 794 52;Bayeux;PB;Viagens e Turismo;BANCO DO BRASIL;Internet instável;Não Resolvido;3;75
465;2023-07-18;Gustavo Rocha;170.855.984-57;São Gonçalo do Amarante;RN;Telecomunicações - Internet;LATAM Airlines;Defeito no produto;Resolvido;4;60
466;28.10.2024;João Santos;504 526 179 50;Maringá;PR;Energia Elétrica;UBER;Serviço não prestado;Em análise;2;52
467;2023-01-06;Juliana Costa;444-258-563-51;Floriano;PI;Telecomunicações - TV por Assinatura;ENEL;Produto diferente do anunciado;Resolvido;2;
468;09-02-2024;Carlos Souza;870-571-288-33;Contagem;MG;Telecomunicações - Internet;iFood;Cobrança indevida;Resolvido;N/A;43
469;25-08-2024;Juliana Costa;779 256 557 66;Uberlândia;MG;Energia Elétrica;Light;Defeito no produto;Em análise;4;64
470;05.10.2024;Lucas Nascimento;27939135581;Penedo;AL;Alimentação - Delivery;AMAZON BRASIL;Atraso na entrega;Resolvido;2;3
471;24.09.2023;Bruno Carvalho;845 433 100 93;Ribeirão das Neves;MG;Transporte Aéreo;RAPPI;Falta de resposta;Em andamento;3;3
472;2024-08-28;Gustavo Rocha;76865791848;Dourados;MS;Telecomunicações - Telefonia Móvel;cvc viagens;Falta de resposta;Finalizado avaliado;1;78
473;9/9/2023;Ana Oliveira;525-172-966-84;Aracaju;SE;Transporte Aéreo;tim;Propaganda enganosa;Resolvido;N/A;80
474;7/1/2024;Camila Rodrigues;57430712675;Vilhena;RO;Seguros;cvc viagens;Voo cancelado sem aviso;Não Resolvido;4;31
475;11/01/2024;Vanessa Gomes;194-733-217-74;Ji-Paraná;RO;Seguros;gol linhas aéreas;Atendimento precário;Em análise;1;27
476;2024-03-08;Ana Oliveira;68523314725;Salvador;BA;Cartões de Crédito/Débito;Apple;Cobrança após cancelamento;Finalizado não avaliado;5;
477;05.01.2024;Ana Oliveira;823.358.124-79;Feira de Santana;BA;Comércio Eletrônico;99;Dados incorretos na fatura;Finalizado avaliado;2;55
478;22-03-2023;Felipe Ribeiro;758 707 220 55;Goiânia;GO;Transporte por Aplicativo;Banco do Brasil;Estorno não realizado;Não Resolvido;2;21
479;08.07.2024;Vanessa Gomes;25761172142;Campinas;SP;Água e Esgoto;OI FIXO;Dificuldade de cancelamento;Não Resolvido;1;
480;22-07-2024;João Santos;817.630.480-98;São Gonçalo;RJ;Telecomunicações - Internet;Oi Fixo;Atraso na entrega;Finalizado não avaliado;5;79
481;14/11/2024;Ana Oliveira;790 254 300 38;Chapecó;SC;Energia Elétrica;Banco do Brasil;Internet instável;Finalizado avaliado;3;
482;25.02.2023;CARLOS SOUZA;284 321 569 10;Santos;SP;Cartões de Crédito/Débito;cpfl energia;Produto diferente do anunciado;Em análise;5;80
483;2023-03-19;Thiago Ferreira;117-602-818-22;Itapipoca;CE;Seguros;cpfl energia;Cobrança após cancelamento;Finalizado não avaliado;2;18
484;25/04/2024;Larissa Barbosa;660.239.999-27;Mossoró;RN;Alimentação - Delivery;Sky Brasil;Conta contestada;Resolvido;4;51
485;06.05.2023;Juliana Costa;32220446761;Brasília;DF;Seguros;99;Cobrança após cancelamento;Finalizado avaliado;2;2
486;02/01/2023;Felipe Ribeiro;829.880.952-35;Abaetetuba;PA;Transporte Aéreo;Motorola;Voo cancelado sem aviso;Finalizado não avaliado;4;68
487;2023-07-22;Camila Rodrigues;19680473177;Ji-Paraná;RO;Eletrônicos e Celulares;Motorola;Cobrança indevida;Resolvido;1;31
488;13/01/2024;João Santos;331-578-312-39;Tangará da Serra;MT;Telecomunicações - TV por Assinatura;Rappi;Erro no aplicativo;Em análise;2;N/A
489;13-05-2023;Gustavo Rocha;56274669565;Lauro de Freitas;BA;Bancos e Financeiras;B2W - Americanas;Conta contestada;Finalizado avaliado;2;55
490;21/01/2024;Pedro Lima;305-985-793-26;Pacaraima;RR;Cartões de Crédito/Débito;AMERICANAS;Voo cancelado sem aviso;Resolvido;5;5
491;11/12/2024;Pedro Lima;21893144615;Joinville;SC;Telecomunicações - TV por Assinatura;Amazon Brasil;Voo cancelado sem aviso;Em andamento;4;53
492;06-04-2024;Daniela Araújo;584.473.637-70;Picos;PI;Telecomunicações - Telefonia Móvel;Banco do Brasil;Cobrança após cancelamento;Em análise;5;79
493;23/6/2023;Lucas Nascimento;97494364415;Bayeux;PB;Telecomunicações - Telefonia Móvel;oi fixo;Produto não entregue;Finalizado não avaliado;1;70
494;28/12/2024;Rafael Martins;23914974452;Itajaí;SC;Telecomunicações - TV por Assinatura;motorola;Propaganda enganosa;Em andamento;4;9
495;20/8/2023;Carlos Souza;419.314.451-39;Belo Horizonte;MG;Energia Elétrica;LATAM Airlines;Atendimento precário;Finalizado avaliado;5;88
496;20/10/2024;Gustavo Rocha;624 243 770 34;Vitória;ES;Eletrônicos e Celulares;Telefonica Brasil;Conta contestada;Finalizado avaliado;5;
497;16/01/2023;João Santos;123 462 232 20;Caruaru;PE;Telecomunicações - Telefonia Móvel;Rappi;Estorno não realizado;Resolvido;3;56
498;12/12/2023;João Santos;597.889.629-19;Juazeiro;BA;Alimentação - Delivery;banco do brasil;Cobrança após cancelamento;Resolvido;2;29
499;23/04/2023;Bruno Carvalho;552 887 939 18;Paulista;PE;Água e Esgoto;cvc viagens;Estorno não realizado;Em andamento;4;59
500;01.01.2024;Fernanda Pereira;690 840 715 17;Linhares;ES;Transporte Aéreo;SKY BRASIL;Propaganda enganosa;Finalizado avaliado;1;32
501;2024-06-13;Rafael Martins;108-927-669-42;Vila Velha;ES;Transporte Aéreo;latam airlines;Dados incorretos na fatura;Em andamento;4;22
502;20-07-2024;Roberto Almeida;600-954-474-96;Juazeiro do Norte;CE;Bancos e Financeiras;Casas bahia;Produto diferente do anunciado;Finalizado não avaliado;N/A;34
503;01.01.2024;Amanda Dias;636 975 340 34;Santarém;PA;Água e Esgoto;Vivo S.A.;Produto diferente do anunciado;Não Resolvido;5;N/A
504;13-03-2024;Thiago Ferreira;34535369293;Pelotas;RS;Bancos e Financeiras;UBER;Falta de resposta;Em análise;4;N/A
505;2023-06-11;Juliana Costa;92261347315;Picos;PI;Eletrônicos e Celulares;AMAZON BRASIL;Atraso na entrega;Em análise;4;3
506;13/9/2023;Vanessa Gomes;635.410.822-96;Foz do Iguaçu;PR;Alimentação - Delivery;Casas Bahia;Estorno não realizado;Finalizado não avaliado;3;67
507;08/11/2023;Patrícia Mendes;425 366 774 16;Jaboatão dos Guararapes;PE;Eletrônicos e Celulares;cpfl energia;Produto não entregue;Em andamento;3;64
508;14/11/2024;João Santos;461-445-168-26;Piripiri;PI;Telecomunicações - Telefonia Móvel;uber;Serviço não prestado;Não Resolvido;4;78
509;17/08/2024;Ana Oliveira;673 645 729 37;Vilhena;RO;Correios e Entregas;99;Atendimento precário;Em andamento;5;53
510;22/4/2024;Patrícia Mendes;727.168.459-47;Araguaína;TO;Eletrônicos e Celulares;GOL Linhas Aéreas;Falta de resposta;Em análise;1;13
511;06/05/2024;Pedro Lima;515-797-796-83;Porto Velho;RO;Cartões de Crédito/Débito;CVC Viagens;Atraso na entrega;Em análise;2;51
512;11/4/2023;Patrícia Mendes;39052626610;Juazeiro do Norte;CE;Seguros;CPFL ENERGIA;Propaganda enganosa;Em andamento;5;80
513;16/10/2024;João Santos;968-947-591-52;Cabedelo;PB;Correios e Entregas;SAMSUNG;Atraso na entrega;Não Resolvido;4;58
514;16/01/2023;João Santos;228 354 941 26;Rio Largo;AL;Transporte Aéreo;Correios;Falta de resposta;Resolvido;3;46
515;2024-11-05;Bruno Carvalho;11743772789;Joinville;SC;Cartões de Crédito/Débito;99;Propaganda enganosa;Finalizado não avaliado;1;16
516;23/8/2024;Roberto Almeida;329.526.307-40;Timon;MA;Eletrônicos e Celulares;CVC VIAGENS;Produto não entregue;Resolvido;4;25
517;02-08-2023;Ana Oliveira;452 496 120 53;São Bernardo do Campo;SP;Energia Elétrica;CPFL Energia;Produto diferente do anunciado;Finalizado avaliado;4;
518;12.08.2024;Maria Silva;133-364-811-40;Araguaína;TO;Energia Elétrica;Sky Brasil;Falta de resposta;Em andamento;2;54
519;01/04/2023;Vanessa Gomes;462.790.520-64;Caracaraí;RR;Viagens e Turismo;CAIXA ECONÔMICA;Propaganda enganosa;Finalizado avaliado;1;0
520;24-03-2024;Roberto Almeida;40662481621;Aparecida de Goiânia;GO;Energia Elétrica;Azul;Serviço não prestado;Em análise;3;62
521;17-10-2024;Amanda Dias;52431370683;Ceará-Mirim;RN;Energia Elétrica;SABESP;Voo cancelado sem aviso;Em análise;1;67
522;26.08.2024;Fernanda Pereira;239-860-339-20;Sena Madureira;AC;Eletrônicos e Celulares;ENEL;Qualidade abaixo do esperado;Em andamento;5;37
523;04-12-2023;Bruno Carvalho;754.584.293-56;Cabedelo;PB;Energia Elétrica;caixa econômica;Produto diferente do anunciado;Finalizado avaliado;5;34
524;28.09.2023;Fernanda Pereira;599.674.619-19;Castanhal;PA;Transporte Aéreo;Magazine luiza;Defeito no produto;Em andamento;4;75
525;11.02.2023;Patrícia Mendes;487-380-752-68;Rorainópolis;RR;Transporte Aéreo;VIVO;Qualidade abaixo do esperado;Resolvido;4;
526;22/9/2023;Bruno Carvalho;373-141-607-14;Campo Grande;MS;Viagens e Turismo;Sabesp;Cobrança indevida;Não Resolvido;3;-1
527;04.03.2024;Felipe Ribeiro;543-609-307-87;Ponta Porã;MS;Telecomunicações - Telefonia Móvel;BRADESCO;Serviço não prestado;Finalizado não avaliado;4;16
528;05-06-2023;Carlos Souza;223 999 878 74;Ribeirão Preto;SP;Seguros;RAPPI;Produto não entregue;Resolvido;4;50
529;2024-07-19;Patrícia Mendes;971 186 591 49;Santarém;PA;Seguros;iFood;Defeito no produto;Em andamento;5;45
530;03.02.2024;Thiago Ferreira;944-531-179-20;Arapiraca;AL;Água e Esgoto;CPFL ENERGIA;Qualidade abaixo do esperado;Em análise;1;41
531;9/4/2024;Patrícia Mendes;98512844078;Manacapuru;AM;Eletrônicos e Celulares;Light;Atraso na entrega;Finalizado avaliado;4;9
532;04-09-2024;Vanessa Gomes;862 581 194 67;Rorainópolis;RR;Seguros;Light;Internet instável;Finalizado avaliado;3;57
533;5/7/2024;Ana Oliveira;52981546271;Penedo;AL;Água e Esgoto;Magazine Luiza;Propaganda enganosa;Não Resolvido;5;52
534;07-12-2023;Thiago Ferreira;612 487 590 85;São Cristóvão;SE;Bancos e Financeiras;Via - Casas Bahia;Dificuldade de cancelamento;Não Resolvido;2;64
535;27-05-2023;Thiago Ferreira;589.685.424-84;Rio Largo;AL;Telecomunicações - TV por Assinatura;gol linhas aéreas;Atendimento precário;Não Resolvido;4;33
536;2023-03-11;Daniela Araújo;697 366 719 89;Santana;AP;Bancos e Financeiras;ML;Erro no aplicativo;Em análise;;54
537;25-12-2024;Vanessa Gomes;12516383755;Ponta Grossa;PR;Água e Esgoto;rappi;Serviço não prestado;Não Resolvido;4;27
538;18.08.2024;Maria Silva;31941863131;Natal;RN;Transporte Aéreo;sabesp;Conta contestada;Finalizado não avaliado;;71
539;7/5/2024;Roberto Almeida;983.954.122-64;Vilhena;RO;Bancos e Financeiras;Bradesco S.A.;Falta de resposta;Finalizado não avaliado;3;84
540;2024-05-15;Ana Oliveira;644 497 485 14;Rio Largo;AL;Seguros;TIM;Erro no aplicativo;Em análise;2;76
541;26/06/2024;Patrícia Mendes;987.648.132-55;Linhares;ES;Eletrônicos e Celulares;amazon brasil;Cobrança após cancelamento;Finalizado avaliado;3;5
542;03.11.2024;Felipe Ribeiro;608 473 856 79;Imperatriz;MA;Água e Esgoto;MAGAZINE LUIZA;Produto não entregue;Em andamento;4;12
543;13-04-2024;Daniela Araújo;53827779162;São José de Ribamar;MA;Transporte por Aplicativo;LIGHT;Dados incorretos na fatura;Finalizado não avaliado;4;90
544;14/6/2023;Ana Oliveira;220-784-853-75;Santa Maria;RS;Cartões de Crédito/Débito;IFOOD;Falta de resposta;Em análise;1;74
545;16/02/2023;Maria Silva;614 527 877 16;Campo Grande;MS;Telecomunicações - Internet;Magazine luiza;Atraso na entrega;Não Resolvido;3;43
546;18/6/2023;Maria Silva;347-675-129-18;Ariquemes;RO;Correios e Entregas;latam airlines;Cobrança indevida;Em análise;1;5
547;14-08-2023;Carlos Souza;246-938-788-16;Tangará da Serra;MT;Viagens e Turismo;CORREIOS;Cobrança indevida;Finalizado não avaliado;1;30
548;16.05.2023;Vanessa Gomes;123-190-200-34;Ji-Paraná;RO;Viagens e Turismo;Sabesp;Cobrança indevida;Não Resolvido;2;58
549;05.06.2024;Fernanda Pereira;193-606-809-27;Rorainópolis;RR;Telecomunicações - Telefonia Móvel;Enel;Defeito no produto;Em andamento;1;51
550;08-01-2024;Larissa Barbosa;725 507 422 39;Porto Velho;RO;Comércio Eletrônico;uber;Produto não entregue;Finalizado avaliado;5;45
551;2024-12-24;Gustavo Rocha;70818990024;Betim;MG;Telecomunicações - Internet;Amazon Brasil;Voo cancelado sem aviso;Não Resolvido;2;65
552;22-03-2024;Juliana Costa;49994412575;Abaetetuba;PA;Viagens e Turismo;B2W - Americanas;Voo cancelado sem aviso;Não Resolvido;2;N/A
553;2023-12-19;Gustavo Rocha;506.128.795-33;Castanhal;PA;Transporte por Aplicativo;99;Produto não entregue;Resolvido;1;N/A
554;01/06/2023;Lucas Nascimento;125 662 958 34;Santarém;PA;Transporte Aéreo;APPLE;Internet instável;Finalizado avaliado;;38
